Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
sample_photopic_recoring, Psammomys;F;;2020-11-24;01/01/2009 01:47:22;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;2;photopic single flash 2
Length;512;Dist[s];4.89237E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 photopic 1.0;L-2 photopic 1.0;R-1 photopic 3.0;L-2 photopic 3.0;R-1 photopic 10.0;L-2 photopic 10.0;
1;0.000E+0000;0.000E+0000;0.000E+0000;-5.075E-0006;1.528E-0006;-3.845E-0006;2.079E-0005;
2;4.892E-0004;0.000E+0000;0.000E+0000;-4.281E-0006;2.749E-0006;-2.258E-0006;2.085E-0005;
3;9.785E-0004;0.000E+0000;0.000E+0000;-3.854E-0006;4.092E-0006;-1.525E-0006;2.073E-0005;
4;1.468E-0003;0.000E+0000;0.000E+0000;-3.732E-0006;3.970E-0006;-6.707E-0007;2.055E-0005;
5;1.957E-0003;0.000E+0000;0.000E+0000;-3.915E-0006;3.115E-0006;-1.824E-0007;1.957E-0005;
6;2.446E-0003;0.000E+0000;0.000E+0000;-3.244E-0006;3.298E-0006;6.175E-0008;1.816E-0005;
7;2.935E-0003;0.000E+0000;0.000E+0000;-2.694E-0006;3.482E-0006;-3.045E-0007;1.591E-0005;
8;3.425E-0003;0.000E+0000;0.000E+0000;-2.450E-0006;3.665E-0006;-8.538E-0007;1.279E-0005;
