Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
SCOTOPIC, PSAMMOMYS;F;;2020-11-24;01/01/2009 01:08:20;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;3;scotopic single flash 3
Length;512;Dist[s];7.82779E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 scotopic 1.0;L-2 scotopic 1.0;R-1 scotopic 3.0;L-2 scotopic 3.0;R-1 scotopic 10.0;L-2 scotopic 10.0;
1;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.904E-0005;2.332E-0005;
2;7.828E-0004;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.830E-0005;2.332E-0005;
3;1.566E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.488E-0005;1.899E-0005;
4;2.348E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.391E-0005;1.581E-0005;
5;3.131E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.214E-0005;1.093E-0005;
6;3.914E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.037E-0005;6.170E-0006;
